Ssn, Sex, Salary, Bdate, Super_ssn, Dno
104, 0, 56000, 61949, 24, 8
50, 0, 50000, 70645, 156, 8
51, 1, 39000, 71527, 57, 8
61, 0, 38000, 67129, 115, 8
65, 0, 33000, 59303, 79, 8
35, 0, 27000, 66369, 75, 8
36, 0, 25000, 57496, 155, 8
97, 1, 25000, 63927, 90, 8
73, 0, 94000, 58605, 79, 9
43, 0, 91000, 62860, 90, 9
3, 1, 89000, 59400, 46, 9
16, 1, 88000, 69102, 3, 9
114, 1, 78000, 58492, 107, 9
69, 1, 73000, 60445, 63, 9
54, 0, 72000, 66229, 110, 9
119, 0, 72000, 58412, 12, 9
92, 0, 69000, 62503, 120, 9
144, 0, 64000, 65070, 70, 9
99, 0, 51000, 59334, 15, 9
157, 1, 46000, 60822, 57, 9
146, 1, 44000, 59925, 149, 9
21, 0, 42000, 67826, 48, 9
24, 1, 42000, 69789, 16, 9
93, 0, 39000, 66175, 129, 9
27, 0, 30000, 65571, 103, 9
75, 1, 97000, 67878, 82, 10
64, 0, 95000, 58790, 109, 10
34, 0, 94000, 68097, 92, 10
23, 0, 89000, 64305, 113, 10
88, 1, 86000, 64123, 33, 10
135, 0, 80000, 65467, 44, 10
17, 1, 77000, 60220, 73, 10
66, 1, 74000, 70389, 29, 10
0, 0, 67000, 71249, 105, 10
15, 1, 62000, 68661, 38, 10
68, 1, 56000, 70688, 119, 10
19, 1, 52000, 57856, 51, 10
116, 1, 31000, 58202, 3, 10
91, 0, 29000, 70556, 83, 10
82, 0, 28000, 66449, 94, 10
107, 0, 26000, 69747, 134, 10
